"filename", "language", "Properties", "Python", "C", "PowerShell", "Shell Script", "HTML", "JavaScript", "XML", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\templates\change_profile.html", "HTML", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 11, 69
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\templates\complete_profile.html", "HTML", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 13, 66
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\templates\index.html", "HTML", 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 2, 40, 206
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\templates\login.html", "HTML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 4, 42
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\templates\news\add.html", "HTML", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 6, 45
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\templates\news\detail.html", "HTML", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 8, 70
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\templates\news\edit_news.html", "HTML", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 7, 41
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\templates\news\list.html", "HTML", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 7, 61
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\templates\participants.html", "HTML", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 5, 49
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\templates\profile.html", "HTML", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 18, 142
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\templates\register.html", "HTML", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 4, 66
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\templates\school.html", "HTML", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 13, 74
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\templates\wait_for_approval.html", "HTML", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\templates\warning.html", "HTML", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\tests.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\urls.py", "Python", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\Maxim\Downloads\ART-main\ART-main\mysite\views.py", "Python", 0, 282, 0, 0, 0, 0, 0, 0, 0, 0, 8, 75, 365
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\bin\Activate.ps1", "PowerShell", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 106, 34, 248
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\bin\activate.csh", "Shell Script", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 11, 28
